리뷰,rep,index,Processing,평가
불꽃놀이도 하고 드론쇼도 하고 정말 즐겁고 재밌는 추억과 시간을 보낼 수 있는 곳이예요.*^^* 앞으로도 쭉~ 한강과 제 몸이 함께였으면 좋겠네요.♡☆,0,25,"['불꽃놀이', '도', '하다', '드론', '쇼', '도', '하다', '정말', '즐겁다', '재밌다', '추억', '보내다', '수', '곳', '예요', '.*^^*', '앞', '으로도', '쭉', '한강', '몸', '하다', '좋다', '♡☆']",긍정
지하철 7호선 바로 앞이라 접근성이 좋습니다.,0,26,"['지하철', '호선', '앞', '이라', '접근성', '좋다']",긍정
그리고 한강을 볼 수 있어 좋습니다.,1,26,"['한강', '볼', '수', '좋다']",긍정
화장실화장실이 잘 갖춰져 있습니다.,2,26,"['화장실', '화장실', '자다', '갖추다']",긍정
조각 전시가 있어서 좋아요~,0,27,"['조각', '전시', '좋다']",긍정
재미있어요,1,27,['재미있다'],긍정
요즘 5월 잠깐 피크닉하기 좋아요.,0,28,"['요즘', '5월', '피크닉', '하다', '좋다']",긍정
텐트는 오후 7시 이후 이용 할 수 없어요.,1,28,"['텐트', '는', '오후', '7시', '이후', '이용', '하다', '수', '없다']",부정
시간 미리 확인 필피크닉 구역7시 이후 텐트 … 자세히,2,28,"['미리', '확인', '필', '피크닉', '구역', '7시', '이후', '텐트', '자세하다']",긍정
평일 저녁엔 굳이 돗자리없어도 될듯합니다,0,29,"['평일', '저녁', '엔', '굳이', '돗자리', '없다', '되다', '하다']",부정
벤치나 데크가 잘되어있어 간단한 마실것만 사서와도 좋을듯합니다,1,29,"['벤치', '데크', '잘', '되어다', '간단하다', '말다', '사서', '와도', '좋다', '하다']",긍정
시원한바람 맞으며 이곳에서 시간보내면 지상낙원이 따로 없습니다,2,29,"['시원하다', '바람', '맞다', '곳', '보내다', '지상', '낙원', '따로', '없다']",긍정
가족과 다니기 좋아요,0,30,"['가족', '다니다', '좋다']",긍정
놀이터와 매점이 있는 곳은 3주차장으로 넓은 주차장과 잔디가 필요한 곳은 2주장으로 가시면 좋아요,1,30,"['놀이터', '매점', '곳', '은', '주차장', '넓다', '주차장', '잔디', '필요하다', '곳', '은', '주장', '가시', '면', '좋다']",긍정
산책하거나 돗자리 펴고 쉬기 좋다.,0,31,"['산책', '거나', '돗자리', '펴다', '쉬다', '좋다']",긍정
한강 바라보며 배달 음식이나 도시락을 먹는 것도 좋다.,1,31,"['한강', '바라보다', '배달', '음식', '이나', '도시락', '먹다', '도', '좋다']",긍정
봄이나 가을에 날씨 좋은 날은 사람이 너무 많아 자리 잡게 어렵다.,2,31,"['봄', '이나', '가을', '날씨', '좋다', '날', '은', '사람', '너무', '많다', '자리', '잡다', '어렵다']",긍정
바람 많이 부는 날은 앉아 있기 어려울 때도 있다.,3,31,"['바람', '많이', '불다', '날', '은', '앉다', '어리다', '도']",부정
원래는 씨름장인 공간에는 이제는 모래놀이터가 되어 어린 아이들이 놀기 좋다.,4,31,"['원래', '는', '씨름장', '인', '공간', '에는', '이제', '는', '모래', '놀이터', '되어다', '어리다', '놀다', '좋다']",긍정
모래놀이터에서는 한 낮에는 해를 가릴만한 양산등이 필요하다.,5,31,"['모래', '놀이터', '에서는', '하다', '낮', '에는', '해', '가리다', '한', '양', '산등', '필요하다']",부정
(최근 파라솔 하나가 설치되었는데 부족하다.),6,31,"['최근', '파라솔', '설치', '되어다', '부족하다', '.)']",긍정
산책 또는 소풍하기 좋은 곳.,0,32,"['산책', '또는', '소풍', '하다', '좋다', '곳']",긍정
7호선 역세권이라 그런지 사람이 되게 많다.,1,32,"['호선', '역다', '권', '이라', '그렇다', '사람', '되게', '많다']",부정
청담대교 밑으로 지나가는 전철을 보고 있자면 여기가 서울이라는 사실이 실감난다.,2,32,"['청담대교', '밑', '지나가다', '전철', '보고', '서울', '이라는', '사실', '실감', '나다']",부정
뚝섬자벌레라는 카페도 있는데 가볼만하다.,3,32,"['뚝섬', '자벌레', '라는', '카페', '도', '가보다', '만하', '다']",부정
밤에도 낮에도 예쁜 곳.,0,33,"['밤', '에도', '낮', '에도', '예쁘다', '곳']",긍정
미세먼지만 없다면 산책하기 넘 조앙,1,33,"['미세먼지', '만', '없다', '산책', '하다', '넘다', '조앙']",긍정
아침 워킹 러닝 산책하기에 이만한 장소없죠,0,34,"['아침', '워킹', '러닝', '산책', '하다', '이만', '한', '장소', '없다']",긍정
한강이 집근처라서 너무 좋아요♡,1,34,"['한강', '집', '근처', '라서', '너무', '좋다', '♡']",긍정
낮과 밤 모두 시각적 정서적 만족을 줄 수있는 편리한 곳입니다.,0,35,"['낮', '밤', '적', '정서', '적', '만족', '줄', '수', '편리하다', '곳', '이다']",긍정
접근성이 좋고 데이트를 하거나 조용히 자연을 바라보기에도 좋은 곳입니다.,1,35,"['접근성', '좋다', '데이트', '거나', '조용하다', '자연', '바라보다', '좋다', '곳', '이다']",긍정
금요일에 드론쇼 사람 무지많고 편의점줄 엄청길고,0,36,"['금요일', '드론', '쇼', '사람', '무지', '많다', '편의점', '줄', '엄청', '길다']",부정
이런 저런 행사도 많이 하고 아이들이 놀기 좋은곳인데..,0,37,"['이렇다', '저런', '행사', '도', '많이', '하다', '놀다', '좋다', '곳', '인데', '..']",긍정
정해진 흡연장소가 아닌곳에서 흡연하는 사람이 꽤 있었음.,1,37,"['정해진', '흡연', '장소', '아니다', '곳', '흡연', '하다', '사람', '꽤']",긍정
오늘아침 미세먼지 때문에 한강너머 롯데타워가 안보일 정도.,0,38,"['오늘아침', '미세먼지', '때문', '한강', '너머', '롯데', '타워', '안', '보이다', '정도']",부정
어떻게 하면 맑은 하늘이 가능할지...,1,38,"['어떻다', '하다', '맑은', '하늘', '가능하다']",부정
드론쇼 멋졌어요^^,0,39,"['드론', '쇼', '멋지다', '^^']",긍정
금요일 드론쇼 너무 멋짐,0,40,"['금요일', '드론', '쇼', '너무', '멋지다']",긍정
가보고 느껴보고 즐기시면 됩니다,0,41,"['가보다', '느끼다', '보고', '즐기다', '되다']",긍정
"마음편하게~ 공중도덕 지키면서~
시민공원이잖아요",1,41,"['마음', '편하다', '공중도덕', '지키다', '\r\n', '시', '민공', '원', '잖다']",긍정
12시 이후엔 사람 많아요,0,42,"['12시', '이후', '엔', '사람', '많다']",부정
텐트도 빠글빠글해요,1,42,"['텐트', '도', '빠글빠글해', '요']",긍정
퇴근후 치맥이 땡겨 급작스레 한강으로 남친과 갔는데 생각보다 쫌 추워서 업체에서 피크닉세트 안했으면 정말 추웠었을것같아요,0,43,"['퇴근', '후', '치맥', '땡기다', '급작스레', '한강', '남친', '가다', '생각', '보다', '쫌', '춥다', '업체', '피크닉', '세트', '안', '하다', '정말', '춥다']",긍정
그래도 올만에 퇴근후 한강보며 먹은 치맥과 라면은 하루일과에대한 보상인 기분이였습니다,1,43,"['오다', '퇴근', '후', '한', '강보', '며', '먹다', '치맥', '라면', '은', '하루', '일과', '대한', '보상', '인', '기분', '이다']",긍정
:),2,43,[':)'],긍정
"터가 넓은 공원이라
여름엔 야외 행사(달리기)
겨울엔 아이들 전용(?) 썰매장이 있습니다.",0,44,"['터', '넓다', '공원', '이라', '\r\n', '여름', '엔', '야외', '행사', '달리기', '\r\n', '겨울', '엔', '전용', '(?)', '썰매', '장이']",긍정
"뚝섬한강공원가봤지만모든가로등을환하게밝힐수
있도록하세요",0,45,"['뚝섬', '한강', '공원', '가보다', '모든', '가로등', '환하다', '밝히다', '\r\n', '하다']",긍정
뚝섬한강공원은모든사람들이이용할수있지만모든치안을강화하고순찰대가오고갈수있도록하세요,1,45,"['뚝섬', '한강', '공원', '은', '모든', '사람', '이이', '용하다', '모든', '치안', '강화하다', '순찰', '대', '가오', '고', '갈수', '하다']",긍정
"치안을강화하고특히각구역마다쓰레기통설치하고
넣을수있도록하세요",2,45,"['치안', '강화하다', '특히', '구역', '마다', '쓰레기통', '설치', '하고', '\r\n', '넣다', '하다']",긍정
"특히뚝섬한강공원보니까그때
어떤할머니가외부쓰레기갖고가라고해서킹받았어요",3,45,"['특히', '뚝섬', '한강', '공', '원보', '니까', '\r\n', '할머니', '외부', '쓰레기', '갖다', '하다', '킹', '받다']",긍정
"아무튼모든구역마다쓰레기통을구역별로하되
외부쓰레기갖고가라고하지않으셨음좋겠어요",4,45,"['아무튼', '모든', '구역', '마다', '쓰레기통', '구역', '별로', '되다', '\r\n', '외부', '쓰레기', '갖다', '하다', '않다', '좋다']",긍정
"내가이용하는맘대로쓰레기를못버린다는게납득이가지않은거같아
남겨요",5,45,"['내다', '용하다', '맘대로', '쓰레기', '못', '버리다', '납득', '가지', '않다', '\r\n', '남기다']",부정
"뚝섬한강공원도과태료60만원물수있도록하고
쓰레기가져가지않는다고각구역마다공지하세요",6,45,"['뚝섬', '한강', '공원', '도', '과태료', '60만원', '물수있도록하고', '\r\n', '쓰레기', '가져가다', '않다', '구역', '마다', '공지', '하다']",긍정
내가두고볼거니까요,7,45,"['내', '가두', '고', '보다', '요']",부정
굉장히 오랜만에 다시 왔는데 이전보다 시설이 많이 좋아지고 편해졌는데 길은 그래도 아직 걷기 불편한 점이 많아서 아쉽다,0,46,"['굉장하다', '오랜', '만', '다시', '오다', '이전', '보다', '시설', '많이', '좋아지다', '편하다', '길다', '아직', '걷기', '불편하다', '점', '많다', '아쉽다']",긍정
"바람 쐬면서 배달 시켜 먹고, 지역 축제도 즐기기 좋습니다",0,47,"['바람', '쐬다', '배달', '먹다', '지역', '축제', '도', '즐기다', '좋다']",긍정
항상 산책하기좋은 곳입니다.,0,48,"['항상', '산책', '하다', '좋다', '곳', '이다']",긍정
곳곳에 화장실과 편의점이 잇어서 사용하기 편합니다.,1,48,"['곳곳', '화장실', '편의점', '잇다', '사용', '하다', '편하다']",긍정
뚝섬한강공원은 모든 배달 음식을 주문 할 수 있고 근처 편의점을 이용하여 소풍 기분을 낼 수 있습니다.,0,49,"['뚝섬', '한강', '공원', '은', '모든', '배달', '음식', '주문', '하다', '수', '근처', '편의점', '이용', '하다', '소풍', '기분', '낼', '수']",긍정
많은 젊은이들이 또는 연인들이 한강 뷰가 주는 탁트인 전망과 여유로움을 느끼기 위해 많이 찾는 곳 입니다.,1,49,"['많다', '젊은이', '또는', '연인', '한강', '뷰', '주다', '탁트인', '전망', '여유', '로움', '느끼다', '위해', '많이', '찾다', '곳', '이다']",긍정
"돗자리, 텐트를 칠 수 있습니다.",2,49,"['돗자리', '텐트', '수']",긍정
다만 사람이 많이 몰리기 때문에 화장실 갈때 줄을 서야 하는 불편은 있습니다.,3,49,"['사람', '많이', '몰리다', '때문', '화장실', '갈다', '줄', '서다', '하다', '불편', '은']",부정
그리고 뚝섬한강공원부터 서울 타워를 바라보며 서울의 숲까지 걸어 볼만 하고 반대 방면으로 롯데타워를 바라보며 광나루까지 걷는 코스가 참 좋습니다.,4,49,"['뚝섬', '한강', '공원', '서울', '타워', '바라보다', '서울', '숲', '걸다', '볼', '만', '하다', '반대', '방면', '롯데', '타워', '바라보다', '광나루', '걷다', '코스', '차다', '좋다']",긍정
화장실사람들이 워낙 많아 줄을 서야 합니다.,5,49,"['화장실', '사람', '워낙', '많다', '줄', '서다', '하다']",긍정
남녀 화장실 모두..피크닉 구역돗자리가 있다면 훨씬 편합니다.,6,49,"['남녀', '화장실', '..', '피크닉', '구역', '돗자리', '편하다']",긍정
벚꽃이 절정인 휴일 오후에 다녀왔는데 사람들이 많이 찾아 그늘과 앉을 자리가 부족한 느낌입니다.,0,50,"['벚꽃', '절정', '인', '휴일', '오후', '다녀오다', '사람', '많이', '찾다', '그늘', '앉다', '자리', '부족하다', '느낌', '이다']",긍정
텐트 칠 수 있는 곳과 나무밑 자리만 깔 수 있는곳 모두 만원이고 벤치도 부족합니다.,1,50,"['텐트', '수', '곳', '나무', '밑', '자리', '만', '깔다', '수', '곳', '만원', '이고', '벤치', '도', '부족하다']",부정
시설 확충이 되면 좋겠습니다.,2,50,"['시설', '확충', '되다', '좋다']",긍정
놀이터보드 탈 수 있는 공간이 있습니다.,3,50,"['놀이터', '보드', '탈', '수', '공간']",긍정
화장실여자 화장실 수가 부족한듯 줄 서있는 모습이 보입니다.,4,50,"['화장실', '여자', '화장실', '수가', '부족하다', '줄', '서다', '모습', '보이다']",긍정
반려견 동반 환경중소형 반려견 동반한 사람이 자주 눈에 띕니다.,5,50,"['반려견', '동반', '환경', '중', '소형', '반려견', '동반', '한', '사람', '자주', '눈', '띄다']",긍정
거의 빠짐없이대 목줄을 사용합니다.,6,50,"['빠지다', '없다', '목줄', '사용', '하다']",부정
"피크닉 구역나무밑 자리깔 수 있는곳, 텐트칠 수 있는 곳 구분되어 있는데 자리가 부족합니다.",7,50,"['피크닉', '구역', '나무', '밑', '자리', '깔다', '수', '곳', '텐트', '수', '곳', '구분', '되어다', '자리', '부족하다']",긍정
여기서여러가지행사 를하는 것같 습니다,0,51,"['서', '여러가지', '행사', '하다']",긍정
캡모자 안에도 수영모 착용해야해요.,0,52,"['캡', '모자', '안', '에도', '수영모', '착용', '하다', '해', '요']",긍정
참고하세요!,1,52,"['참고', '하다']",부정
현장에서 구매하니 1개에 7천원 받더라고요..,2,52,"['현장', '구매', '하다', '개', '7천원', '받다', '..']",부정
한강바람 쐬기 좋은 곳.,0,53,"['한', '강바람', '쐬다', '좋다', '곳']",긍정
